,Trip ID,Duration (min),Walking Time (min),Transit Time (min),Walking Distance (m),Transfers,Message
269,939341,,,,,,No trip found.
270,1465458,,,,,,No trip found.
271,908183,,,,,,No trip found.
272,1434838,,,,,,No trip found.
273,1312707,,,,,,No trip found.
274,851565,,,,,,No trip found.
275,1347959,,,,,,No trip found.
276,1011210,,,,,,No trip found.
277,1317929,,,,,,No trip found.
278,1524732,37.016666666666666,37.016666666666666,0.0,2864.8352405919454,0.0,Successful Run
279,1444835,12.116666666666667,12.116666666666667,0.0,928.9565488699361,0.0,Successful Run
280,1011722,,,,,,No trip found.
281,1427163,,,,,,No trip found.
282,1525731,36.03333333333333,36.03333333333333,0.0,2818.0730225528714,0.0,Successful Run
283,1517195,,,,,,No trip found.
284,1196841,,,,,,No trip found.
285,1364554,,,,,,No trip found.
286,1362569,29.983333333333334,29.983333333333334,0.0,2318.7328496147084,0.0,Successful Run
287,993059,39.766666666666666,39.766666666666666,0.0,3091.035661645596,0.0,Successful Run
288,1501090,,,,,,No trip found.
289,1094037,,,,,,No trip found.
290,939699,,,,,,No trip found.
291,1257130,16.966666666666665,16.966666666666665,0.0,1315.1213007463846,0.0,Successful Run
292,1269472,22.15,18.5,3.6166666666666667,1400.7563308211847,0.0,Successful Run
293,851885,,,,,,No trip found.
294,1156171,51.25,9.433333333333334,33.083333333333336,728.2324210504238,1.0,Successful Run
295,1027218,,,,,,No trip found.
296,1335660,,,,,,No trip found.
297,1069057,57.766666666666666,52.95,4.783333333333333,4073.672699235867,0.0,Successful Run
298,1355166,,,,,,No trip found.
299,1305499,,,,,,No trip found.
300,1269704,39.1,39.1,0.0,3037.892812017981,0.0,Successful Run
301,987360,,,,,,No trip found.
302,1293877,,,,,,No trip found.
303,1493789,39.766666666666666,39.766666666666666,0.0,3091.035661645596,0.0,Successful Run
304,934898,,,,,,No trip found.
305,846843,,,,,,No trip found.
306,1021015,,,,,,No trip found.
307,903776,,,,,,No trip found.
308,1098310,,,,,,No trip found.
309,982846,62.35,61.35,0.9666666666666667,4805.722270671585,0.0,Successful Run
310,1396271,,,,,,No trip found.
311,1101851,,,,,,No trip found.
312,1092956,26.466666666666665,26.466666666666665,0.0,2052.9761879658854,0.0,Successful Run
313,1325422,,,,,,No trip found.
314,1388902,,,,,,No trip found.
315,1522769,,,,,,No trip found.
316,941859,57.766666666666666,52.95,4.783333333333333,4073.672699235867,0.0,Successful Run
317,1016497,,,,,,No trip found.
318,1406541,26.466666666666665,26.466666666666665,0.0,2052.9761879658854,0.0,Successful Run
319,1266350,16.966666666666665,16.966666666666665,0.0,1315.1213007463846,0.0,Successful Run
320,1448791,,,,,,No trip found.
321,1126204,,,,,,No trip found.
322,1402930,,,,,,No trip found.
323,967653,,,,,,No trip found.
324,1576223,,,,,,No trip found.
325,1335990,,,,,,No trip found.
326,888432,,,,,,No trip found.
327,894188,,,,,,No trip found.
328,825260,39.766666666666666,39.766666666666666,0.0,3091.035661645596,0.0,Successful Run
329,1460217,,,,,,No trip found.
330,940269,,,,,,No trip found.
331,978124,,,,,,No trip found.
332,1045820,,,,,,No trip found.
333,1003407,57.766666666666666,52.95,4.783333333333333,4073.672699235867,0.0,Successful Run
334,1444778,26.466666666666665,26.466666666666665,0.0,2052.9761879658854,0.0,Successful Run
335,1380090,,,,,,No trip found.
336,989314,,,,,,No trip found.
337,1537027,101.5,63.46666666666667,36.0,4891.522819535066,1.0,Successful Run
338,1493387,,,,,,No trip found.
339,1404017,39.766666666666666,39.766666666666666,0.0,3091.035661645596,0.0,Successful Run
340,1016952,,,,,,No trip found.
341,1045765,,,,,,No trip found.
342,881332,,,,,,No trip found.
343,1206643,,,,,,No trip found.
344,1120061,,,,,,No trip found.
345,1531007,266.95,67.7,181.95,5233.276631567568,3.0,Successful Run
346,1343397,,,,,,No trip found.
347,1580690,,,,,,No trip found.
348,1294278,32.88333333333333,32.88333333333333,0.0,2544.620984956145,0.0,Successful Run
349,842479,,,,,,No trip found.
350,893215,,,,,,No trip found.
351,1271692,,,,,,No trip found.
352,1089374,57.766666666666666,52.95,4.783333333333333,4073.672699235867,0.0,Successful Run
353,1261194,,,,,,No trip found.
354,1290753,,,,,,No trip found.
355,1411629,,,,,,No trip found.
356,1051370,,,,,,No trip found.
357,997821,,,,,,No trip found.
358,1434406,,,,,,No trip found.
359,1486608,48.1,39.9,8.166666666666666,3095.6494661545566,0.0,Successful Run
360,885013,,,,,,No trip found.
361,873505,,,,,,No trip found.
362,985252,,,,,,No trip found.
363,1325823,,,,,,No trip found.
364,1518366,123.56666666666666,49.85,46.95,3873.4318195447477,3.0,Successful Run
365,825857,,,,,,No trip found.
366,1020008,41.68333333333333,41.68333333333333,0.0,3230.1918045008942,0.0,Successful Run
367,1433576,,,,,,No trip found.
368,1096904,41.68333333333333,41.68333333333333,0.0,3230.1918045008942,0.0,Successful Run
369,1034804,,,,,,No trip found.
370,998151,,,,,,No trip found.
371,1414051,,,,,,No trip found.
372,1358162,,,,,,No trip found.
373,868972,,,,,,No trip found.
374,1333494,,,,,,No trip found.
375,1088339,,,,,,No trip found.
376,1082253,,,,,,No trip found.
377,1075940,,,,,,No trip found.
378,1106292,,,,,,No trip found.
379,984515,,,,,,No trip found.
380,998506,,,,,,No trip found.
381,1555991,34.266666666666666,9.916666666666666,24.316666666666666,756.3264736797099,0.0,Successful Run
382,1081091,,,,,,No trip found.
383,1292297,,,,,,No trip found.
384,1343112,41.68333333333333,41.68333333333333,0.0,3230.1918045008942,0.0,Successful Run
385,1029107,,,,,,No trip found.
386,1209226,12.116666666666667,12.116666666666667,0.0,928.9565488699361,0.0,Successful Run
387,1226390,16.45,16.45,0.0,1275.1531052585729,0.0,Successful Run
388,1076970,,,,,,No trip found.
389,1286723,,,,,,No trip found.
390,1003876,,,,,,No trip found.
391,1091333,,,,,,No trip found.
392,1180170,41.68333333333333,41.68333333333333,0.0,3230.1918045008942,0.0,Successful Run
393,970239,,,,,,No trip found.
394,990260,32.88333333333333,32.88333333333333,0.0,2544.620984956145,0.0,Successful Run
395,903783,,,,,,No trip found.
396,1445312,,,,,,No trip found.
397,1038229,,,,,,No trip found.
398,1103334,,,,,,No trip found.
399,893217,,,,,,No trip found.
400,1039725,,,,,,No trip found.
401,909836,,,,,,No trip found.
402,1075784,,,,,,No trip found.
403,1580475,17.966666666666665,17.966666666666665,0.0,1393.398714281335,0.0,Successful Run
404,1503595,,,,,,No trip found.
405,1206962,,,,,,Origin is with
406,1554315,670.2166666666667,57.1,62.18333333333333,4481.438112777272,2.0,Successful Run
407,1473660,12.116666666666667,12.116666666666667,0.0,928.9565488699361,0.0,Successful Run
408,1045371,,,,,,No trip found.
409,1358631,,,,,,No trip found.
410,825006,38.18333333333333,38.18333333333333,0.0,2940.674473671644,0.0,Successful Run
411,833342,,,,,,No trip found.
412,1386192,,,,,,No trip found.
413,1412758,,,,,,No trip found.
414,1343839,,,,,,No trip found.
415,835454,,,,,,No trip found.
416,1492054,,,,,,No trip found.
417,1136469,57.766666666666666,52.95,4.783333333333333,4073.672699235867,0.0,Successful Run
418,991994,,,,,,No trip found.
419,1503343,12.266666666666667,12.266666666666667,0.0,964.524210525212,0.0,Successful Run
420,1222354,,,,,,No trip found.
421,1389180,,,,,,No trip found.
422,1547242,,,,,,No trip found.
423,1531967,,,,,,No trip found.
424,1087064,,,,,,No trip found.
425,1343388,,,,,,No trip found.
426,1517168,,,,,,No trip found.
427,867175,,,,,,No trip found.
428,1381189,,,,,,No trip found.
429,827227,,,,,,No trip found.
430,1092145,,,,,,No trip found.
431,1497691,,,,,,No trip found.
432,1450763,,,,,,No trip found.
433,1499868,191.26666666666668,41.28333333333333,73.96666666666667,3151.281293219618,2.0,Successful Run
434,1343875,22.15,18.5,3.6166666666666667,1400.7563308211847,0.0,Successful Run
435,1433322,,,,,,No trip found.
436,1473637,12.116666666666667,12.116666666666667,0.0,928.9565488699361,0.0,Successful Run
437,1035267,,,,,,No trip found.
438,975767,,,,,,No trip found.
439,1499863,191.26666666666668,41.28333333333333,73.96666666666667,3151.281293219618,2.0,Successful Run
440,1474335,,,,,,No trip found.
441,798559,,,,,,No trip found.
442,1204979,51.36666666666667,40.71666666666667,10.616666666666667,3153.040030061892,0.0,Successful Run
443,1394777,,,,,,No trip found.
444,1030897,,,,,,No trip found.
445,1206667,,,,,,No trip found.
446,1413145,,,,,,No trip found.
447,1352717,33.13333333333333,33.13333333333333,0.0,2535.05236088953,0.0,Successful Run
448,893261,,,,,,No trip found.
449,1106688,,,,,,No trip found.
450,1409491,,,,,,No trip found.
451,1287545,41.68333333333333,41.68333333333333,0.0,3230.1918045008942,0.0,Successful Run
452,1403100,,,,,,No trip found.
453,1499865,191.26666666666668,41.28333333333333,73.96666666666667,3151.281293219618,2.0,Successful Run
454,912698,,,,,,No trip found.
455,1136470,57.766666666666666,52.95,4.783333333333333,4073.672699235867,0.0,Successful Run
456,1016966,,,,,,No trip found.
457,1268055,,,,,,No trip found.
458,1167267,,,,,,No trip found.
459,867801,,,,,,No trip found.
460,830534,,,,,,No trip found.
461,1074028,,,,,,No trip found.
462,1086658,,,,,,No trip found.
463,1362961,,,,,,No trip found.
